Title,Year,Duration,MPAA,Genres,IMDb_Rating,Director,Stars,Plot_Summary,Votes,Duration_In_Minutes
This Is My Desire,2020,1h 56min,Not Rated,Drama,7,Arie Esiri,"Jude Akuwudike, Kemi Lala Akindoju, Kelechi Udegbe","In Lagos, Nigeria, tragedy and fate intervene as two people try to better the lives of their families.",88942,116
Derelict,2024,2h 2min,Not Rated,Drama,7.6,Jonathan Zaurin,"Ayvianna Snow, Dean Kilbey, Nick Cornwall","Abigail grieves her father's death, feeling isolated. Matt's life disrupted by brother's return. Their paths intersect, tragically shaping their journeys. A character-driven exploration of loss and upheaval.",31000,122
Food for Profit,2024,1h 30min,Not Rated,Documentary,7.6,Pablo D'Ambrosi,Unknown,"The film exposes the links between Agrifood and politics. With a pool of international experts it analyses the many problems related to factory farming: water pollution, migrants exploitation, biodiversity loss and antibiotic resistance.",31000,90
Hatton,2023,1h 40min,Not Rated,Documentary,7.3,Daniel Dewsbury,"Oscar De La Hoya, Manny Pacquiao, Floyd Mayweather Jr.","British boxer Ricky Hatton incredible journey from Manchester Council estate to fighting in Las Vegas. Also explores themes of celebrity and mental health, acting as both a celebration of talent and cautionary talent.",66997,100
Just. One. Mile.,2023,1h 36min,Not Rated,Documentary,7.6,Duane Codrington,"Greg Armstrong, Luke Bollschweiler, Chadd Wright","In an extreme endurance race, 100 runners participate in a continuous one-mile loop in the Tennessee mountains for over 30 hours straight, pushing their limits until only one remains.",70010,96
The Illusion of Control,2022,1h 34min,Not Rated,"Drama, Mystery, Thriller",6.5,Vladek Zankovsky,"Oleg Fendura, Tatyana Konovalova, Valeriy Bassel","Entire life Victor perfectly manipulated others in his own interests. This allowed him to control large financial flows. Once, he discovered that since childhood he was a puppet in someone's game. Trying to find out who's behind this all, Victor reveals n",71851,94
The Legend of the Vagabond Queen of Lagos,2024,1h 40min,Not Rated,"Crime, Drama, Mystery",8.8,Bisola Akinmuyiwa,"Temiloluwa Ami-Williams, Adebowale Adedayo, Gerard Avlessi",A young mother from a waterfront slum in Lagos stumbles upon a horde of corrupt blood money.,31000,100
Bonhoeffer vs. The Third Reich,2023,Unknown,Not Rated,Drama,7.2,Jocelyn Zee,"Ryan Holland, Zach Attwood, Carol Bogdanec","This film is based on the life story of Dietrich Bonhoeffer's (German: 4 February 1906 - 9 April 1945) and his struggle against the Third Reich. Bonhoeffer was a German Lutheran pastor, theologian and anti-Nazi dissident who was a key founding member of t",237805,Unknown
Pink Moon,2022,1h 35min,Not Rated,Drama,6.9,Floor van der Meulen,"Julia Akkermans, Johan Leysen, Eelco Smits","When a young woman receives the absurd news from her father that he's had enough of life and wants it to come to an end, she is forced to search for a way to deal with his last wish.",257225,95
The Male Gaze: Nocturnal Instincts,2021,1h 38min,Not Rated,Drama,6.5,Dean Anderson,"Tijmen Govaerts, Gabriel Omri Loukas, Vincent Xi Chen",Strap yourself in for an exhilarating journey into darkness with these five award-winning short films from across the globe that delve into heart-pumping escapades varying from the intensely erotic to the ultra-violent to the warm-inside feels. The night,285903,98
Six: The Fully Animated Musical,2020,1h 10min,Not Rated,"Animation, Drama, Family",6.7,Aimie Atkinson,Unknown,Animated version of Six the Musical,83214,70
Saving Sakic,2024,48min,Not Rated,Documentary,6.7,Jay Nelson,"Harrison Ford, Charlie Lyons, Joe Sakic","Story of how Joe Sakic nearly left the Avalanche for the Rangers in 1997, and how a chance meeting with Harrison Ford among other events that week kept him in Colorado.",31000,48
Hardabasht,2023,Unknown,Not Rated,"Drama, Thriller",7.6,Mohammad Dayekh,"Randa Kaady, Alexandra Kahwagi, Hussein Kaouk","A mother and her 3 boys,The youngest boy is religiously committed unlike his two older brothers who are drug dealers. They force their younger brother to work for them because of his clean reputation. A series of events bring chaos",43492,Unknown
The Righteous Twelve,2022,Unknown,Not Rated,Western,7.3,Anthony Adams,"Tony Eckstat, Timothy E. Goodwin, Keith Lopez",Twelve bad men come to the aid of a small town.,136248,Unknown
Pari,2020,1h 41min,Not Rated,"Drama, Mystery",6.9,Siamak Etemadi,"Melika Foroutan, Shahbaz Noshir, Sofia Kokkali","The search of an Iranian mother, Pari, for her missing son in Athens will force her on a journey to the dark corners of the city as well as the hidden depth of her own self.",33843,101
Out There Halloween Mega Tape,2022,Unknown,Not Rated,"Comedy, Horror",7.4,Chris LaMartina,"Leanna Chamish, John Dimes, Ted Geoghegan","A daytime talk-show host finds herself placed on a new program, and investigating a farmstead with a long history of alien encounters.",24933,Unknown
Inside Helix,2020,Unknown,Not Rated,Reality-TV,7.3,Alex Roman,"Max Carter, Corbin Colby, Daniel Deluca","Ever wonder what it's like working in the adult industry? Go behind the scenes of Helix; a gay, adult film studio as the guys take you to their favorite restaurants, play games at the Helix house, and attend award shows.",63481,Unknown
Fairy Garden,2023,1h 23min,Not Rated,Documentary,7.1,Gergö Somogyvári,Unknown,"On the outskirts of Budapest, in the heart of the woods, hides a ramshackle little hut. Inside, two social outcasts have formed the unlikeliest of bonds: Fanni, a 19 year-old transgender teenager, and Laci, a 60 year-old homeless man. Together, they form",137575,83
American Tragedy 25,2024,1h 21min,Not Rated,Documentary,8.2,Josh Sabey,"Tiffany Tate Aragon, Carol Archer, Paul Archer",The mother of the most infamous school shooter in history tells what she wishes she'd done differently. Discussions around stopping mass shootings are usually bifurcated by politics: Gun control on the left and Mental health on the right. But the issues a,31000,81
The Can,2024,1h 33min,Not Rated,Thriller,9.3,Mitchell Kendall Smith,"Louis Cruzat, Steven Berkoff, Shaun Dooley",A disillusioned security guard races against the clock to save a life.,31000,93
What Doesn't Float,2023,1h 9min,Not Rated,"Comedy, Drama",7,Luca Balser,"Mirlande Amazan, Alana Raquel Bowers, Pauline Chalamet",An anthology of New Yorkers at their wit's end.,378710,69
"Dear Kate,",2024,2h 1min,Not Rated,Drama,8.4,Brandon Stouff,"Hick Cheramie, Kaleb Naquin, William E. Harris","After her father's death, a recluse runaway returns home to face her former life.",31000,121
Set!,2021,1h 45min,Not Rated,Documentary,7.1,Scott Gawlik,Unknown,"Often referred to as ""The Olympics of Table Setting,"" eccentric personalities and old rivalries come to a head as contestants compete for the ""Best of Show"" ribbon at the Orange County Fair table setting competition. Watch on Discovery+",360947,105
Illuminati,2020,52min,Not Rated,"Documentary, Mystery",6.6,Carl Sampson,"Chris Harvey, Barack Obama",Secret societies is the new code word for organizations believed to pull the strings of the world. These groups have been both credited and blamed for great many nefarious acts perpetrated against humanity. Among the most infamous of secret societies stan,89569,52
Underground Orange,2024,1h 25min,Not Rated,"Comedy, Drama",7.6,Michael Taylor Jackson,"Sofía Gala Castiglione, Vera Spinetta",A Californian backpacker becomes entangled in a polyamorous relationship with a gang of young actors who plot to kidnap the US Ambassador to Argentina.,31000,85
Mr. Bungle: The Night They Came Home,2020,1h 40min,Not Rated,Music,8,Jack Bennett,"Mike Patton, Trevor Dunn, Trey Spruance",A reconstituted Mr. Bungle assembles in the Eureka public library to perform their unique brand of music.,93771,100
Nr. 10,2021,1h 40min,Not Rated,"Drama, Mystery, Sci-Fi",6.5,Alex van Warmerdam,"Tom Dewispelaere, Frieda Barnhard, Hans Kesting","Found in the German woods as a four-year-old boy, Gunter grows up in a foster family. Four decades later he leads a normal life. When a man on a bridge whispers a single word in his ear, he starts to wonder about his origins.",118592,100
The Figo Affair: The Transfer that Changed Football,2022,1h 45min,TV-MA,"Documentary, Biography, Sport",7.1,Ben Nicholas,"Roberto Carlos, José Ramón de la Morena, José Félix Díaz",This documentary spotlights one of the most contentious deals in football history and the extraordinary player at the center of the storm: Luís Figo.,259056,105
Sharksploitation,2023,1h 46min,Not Rated,Documentary,7.1,Stephen Scarlata,"Joe Alves, Mark Atkins, Paul Bales","In the wake of the blockbuster classic Jaws (1975), a new subgenre was born. This documentary explores the weird, wild cinematic legacy of sharks on film and the world's undying fascination.",247766,106
Tukdam: Between Worlds,2022,1h 31min,Not Rated,Documentary,7.1,Donagh Coleman,"The Dalai Lama, Richard Davidson, Dylan Lott",First document about a tibetan meditation that preserves the body from days to weeks after traditionally considered death.,58364,91
Jazz Fest: A New Orleans Story,2022,1h 35min,PG-13,"Documentary, Music",7.1,Frank Marshall,"Glen David Andrews, Philip Bailey, Tarriona Ball","A film that not only captures the signature annual music and cultural event that has been called America's greatest festival in all of its beauty and glory, but also delves deep into the rich culture of The Big Easy.",351718,95
Tendaberry,2024,1h 55min,Not Rated,"Drama, Romance",7,Haley Elizabeth Anderson,"Sarae Adams, Mike Donovan, Kota Johan","As her boyfriend returns to Ukraine to care for his ailing father, 23-year-old Dakota faces the challenges of a precarious new reality, navigating the complexities of survival in New York City on her own.",31000,115
Promiscuously Toxic,2024,Unknown,Not Rated,Drama,7.4,A.D. Scott,"Raquel Belt-Brewer, Tanisha Cowley, Kris D'Sha","A wealthy player wrestles with commitment issues until meeting the woman of his dreams, only to face karmic consequences for his past infidelities.",31000,Unknown
The Text,2024,48min,Not Rated,Drama,7.2,Joel Haver,"Ben Ball, Dax Flame, Francesca Keller",A text becomes the focal point for the stragglers the day after a party.,31000,48
Angie's Cure,2023,1h 54min,Not Rated,Drama,9.7,Corey Grant,"Essence Atkins, Lanett Tachel, Sean Nelson",A traumatized rape victim finds therapy in a most disturbing way.,26,114
Everything in Between,2022,1h 30min,Not Rated,Drama,6.8,Nadi Sha,"Gigi Edgley, Martin Crewes, Ayeshah Zakiya Rose",An alienated teenager learns to find meaning and purpose in a world where he doesn't belong.,94288,90
Stonewalling,2022,2h 28min,Not Rated,Drama,6.9,Ji Huang,"Honggui Yao, Xiaoxiong Huang, Long Liu","When Lynn discovers that she is pregnant, finishing her studies as a flight attendant is called into question. Not wanting to have an abortion and hide her pregnancy from her absent boyfriend, Lynn hopes to give the child away at birth.",220139,148
The End of the Storm,2020,1h 39min,Not Rated,"Documentary, Sport",7.7,James Erskine,"Trent Alexander-Arnold, Alisson Becker, Kenny Dalglish","Inside story of the 2019/20 Premier League winning season. In a year when all sports came to a standstill, fans of Liverpool F.C. finally saw their team lift the trophy that had eluded them for 30 long years.",20434,99
Who We Are: A Chronicle of Racism in America,2021,1h 57min,PG-13,Documentary,7.7,Emily Kunstler,"Chief Egunwale Amusan, Josephine Bolling McCall, Gwen Carr","Interweaving lecture, personal anecdotes, interviews, and shocking revelations, lawyer Jeffery Robinson draws a stark timeline of anti-Black racism in the United States, from slavery to the modern myth of a post-racial America.",64416,117
The Illegal,2021,1h 26min,Not Rated,Drama,6.8,Danish Renzu,"Suraj Sharma, Shweta Tripathi, Adil Hussain",A gritty realistic story about a young film school student from middle-class India who's forced to drop out to support his family while staying in the United States as an undocumented worker.,390280,86
Hamlet Within,2022,1h 26min,Not Rated,Drama,7.1,Ken McMullen,"Ian McKellen, Gabriella Wright, Dominique Pinon","A modern-day version of Shakespeare's 'Hamlet', which explores a young man's psyche as he contemplates avenging his father's death.",5486,86
Toopy and Binoo: The Movie,2023,1h 24min,TV-PG,"Animation, Family",7.1,Dominique Jolin,"Lucinda Davis, Claudia Besso, Chimwemwe Miller","After losing Binoo's stuffed animal, Toopy, Binoo, and a genie named Dorothy, set out to the land of Lost and Found.",85236,84
Angle,2023,1h 48min,TV-14,"Documentary, Sport",8,Alex Perry,"Kurt Angle, David Angle, Eric Angle","Kurt Angle tells the tale of his journey from humble beginnings in Pittsburgh to Olympic Gold Medalist and WWE Hall of Famer; Angle, his family and his friends share their candid thoughts on the WWE Legend's turbulent road to glory.",88435,108
